spec,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
S11111,2.0083150837988826,2.7750155102040814,2.940951162790698,3.0290874661857528,3.072521686010996,3.139938028169014,3.3719769491525424,3.418850946643718,3.510350230414746,3.54321776504298,0.652079771,0.284744656,0.618550974,0.079445962,0.019131714,0.04480032,0.010296188,0.026246396,0.68413277,0.56919916
S11111,2.0928947162426614,2.999576694411415,3.113947906976744,3.213533568904593,3.376085539714867,3.416736842105263,3.4682917103882476,3.550103374012921,3.5861568058076223,3.77932,0.685630405,0.355465058,0.282426359,0.375857118,0.009035756,0.119750726,0.023912904,1.008912518,0.403907809,0.313074449
S11111,1.9448952176249326,2.969936507936508,3.0436826835902084,3.113947906976744,3.140812773951158,3.253697719869707,3.2891691394658755,3.376085539714867,3.478151578947368,3.676832835820895,0.608485213,0.821677765,0.108684667,0.003299055,0.00969113,0.006400615,0.019634563,1.559440369,0.152914558,0.089069314
S11111,2.0376111426947126,2.8769418769492487,2.9924962941002073,3.0154473684210528,3.072521686010996,3.209853705486044,3.281426504439329,3.3295,3.538643776824034,3.6918140929535226,0.529844257,0.575195101,0.11286616,0.059831061,0.215159524,0.013473517,0.050237758,0.011610108,1.291161829,0.431809669
S11111,2.1413805309734513,2.9030415353766825,3.154,3.213533568904593,3.288199077125906,3.347557498318763,3.4891802816901403,3.522737366548043,3.565124413992066,3.758321100917431,0.691116755,0.387384594,0.230046513,0.273972299,0.074018491,0.130847583,0.084021513,0.248890975,0.703070001,0.215123647
S11111,2.062990190421235,2.87121414427157,3.1460727728983686,3.1906883365200764,3.335494976557267,3.4209679641749915,3.4617528795811516,3.523868280526878,3.565124413992066,3.809962747380675,0.752379553,0.592890071,0.329822585,0.075286138,0.12937102,0.228126413,0.003009102,1.085231108,0.260914162,0.224346548
S11111,2.080673921492421,2.864090832157969,3.1673122629582804,3.198870565675935,3.3791743119266053,3.4241489655172415,3.4847594936708863,3.567447852760736,3.6254386480529024,3.7872613723978414,0.624026068,0.328810664,0.166357269,0.227425812,0.222631834,1.400838868,0.142521486,0.003055722,0.080416441,0.53294282
S11111,1.8485470459518596,2.68342655145326,2.9776721698113207,3.118245962732919,3.189782096208984,3.2348776699029127,3.3175818908122503,3.3465485714285714,3.4682917103882476,3.680565558460964,0.455679132,0.402338903,0.089057771,0.091019698,0.001377228,0.381411712,1.712249338,0.103716776,0.054681272,0.444296603
S11111,2.070619783616692,2.943972060535506,3.037176364184504,3.0617383632491633,3.1601967213114754,3.320552482505831,3.3556534052596083,3.382269387755102,3.462840782122905,3.6968378378378377,0.549215965,0.862327142,0.072904572,0.034830158,0.058016684,0.005562023,0.768558861,0.586767569,0.094403153,0.347222515
S11111,2.0874420600858365,2.731524318546232,3.0074883720930234,3.1584234404536864,3.2237021276595748,3.232075654704171,3.4146256445513927,3.508108395324123,3.654610822831727,3.701876691729323,0.568244089,0.243731767,0.042195478,0.089162017,0.100105563,0.008387501,0.208678651,0.241249732,1.325388713,0.053289845
S11111,1.9752447526920967,2.9155544041450776,3.145194731890875,3.205267136450993,3.238622164614387,3.353625336927223,3.4135711340206183,3.4390810810810803,3.480351123595505,3.7234619750283766,0.456971908,0.787366734,0.020110632,0.072389466,0.046213177,1.286239342,0.022805277,0.202711869,0.021896235,0.486011086
S11111,2.0334540642722114,2.921485285631852,2.9653169014084506,3.1425639097744362,3.2660628066732094,3.320552482505831,3.332494479759117,3.495834862385321,3.5489537136706137,3.8113074534161484,0.553496369,0.081011055,0.541655751,0.048848526,0.033759006,1.465270273,0.472128493,0.002194229,0.038912794,0.545055187
S11111,1.9198067700987305,2.7956794731064765,2.9500350058343057,2.9979999999999998,3.0617383632491633,3.241436912098605,3.2920831683168315,3.3136303191489356,3.4476789437109097,3.6436106390838563,0.62309731,0.742635945,0.038271062,0.196671586,0.111624782,0.011484222,0.00876309,0.094510159,1.890165383,0.044265823
S11111,1.9520870816840588,2.8450571108622618,3.042053156146179,3.1096631578947367,3.229279069767441,3.254645161290323,3.4083094339622644,3.4487570385818564,3.4715714285714285,3.7427397260273967,0.712108912,0.707537632,0.136920761,0.060832899,0.136028374,0.032337756,1.466804137,0.166126461,0.074045926,0.189054238
S11111,1.9887368421052631,2.8570075949367086,3.055144764795144,3.0867528400368434,3.181651842439644,3.3334939759036137,3.4093603294440635,3.4617528795811516,3.5092289156626504,3.7466217142857143,0.632984208,0.581092644,0.096907943,0.083850277,0.108134468,0.254249414,1.55533514,0.07403795,0.084832403,0.136442348
S11111,1.969024,2.95765359859567,3.0210470482469285,3.1575376377952753,3.189782096208984,3.3057586206896548,3.3546390293225476,3.3781440217391308,3.4241489655172415,3.7401566539923956,0.701939149,0.302122119,0.269226593,0.027169364,0.318630958,0.546794491,0.659515,0.033872498,0.493086077,0.426694241
S11111,2.0132827792304817,2.78630399125205,3.0469476550680783,3.0909667896678967,3.265107913669065,3.350588354089532,3.3915926305015347,3.403065753424657,3.722184568835099,3.7609319051262435,0.945518,0.385747216,0.187107689,0.363600685,0.411877398,0.338687523,0.12194585,0.248549347,0.260916539,0.002318036
S11111,2.0280486150367434,2.6988286768581973,2.976896551724138,3.119107176141659,3.24802600780234,3.3235290193462306,3.3936722430863777,3.416736842105263,3.6170267497251745,3.6918140929535226,0.777318049,0.454396391,0.133442547,0.254111626,0.110509634,0.423304214,0.134933235,0.373969275,0.011406042,0.387469602
S11111,1.925096408986379,2.889924764890282,3.0226512743628184,3.094347290640394,3.205267136450993,3.2144550128534704,3.2670183246073297,3.3936722430863777,3.590868047982551,3.6780761478163497,0.855904922,0.573587523,0.156205343,0.140428472,0.483743157,0.292402721,0.460589643,0.312476852,0.026274989,0.322219964
S11111,2.1633110749185667,2.8619616685456593,3.009076372315036,3.159309801449732,3.268931237721022,3.4358691588785044,3.4748580441640375,3.4825537596626837,3.5409291338582674,3.733716129032258,1.378304929,0.315537299,0.082846003,0.383822013,0.191442641,0.002494797,0.195009301,0.152870839,0.724568831,0.101504317
S11111,2.022362816901408,2.7359951807228917,2.9932811387900355,3.1148064516129033,3.205267136450993,3.2785335085413925,3.283358341559724,3.3740298507462687,3.5535573122529645,3.6905605095541403,1.153842193,0.312057734,0.512450772,0.149061157,0.098133527,0.004267879,0.064530962,0.893663208,0.000389764,0.025714676
S11111,1.939187935034803,2.813965717445397,3.0307013533834586,3.1312205928237127,3.20343661971831,3.253697719869707,3.2911111844275815,3.330497492477432,3.432663900414938,3.706930722891566,0.527882465,0.251457643,0.134181071,0.032391919,0.896595524,0.141895283,0.624416373,0.769428978,0.053219768,0.47370346
S11111,2.114,2.9800017704337565,3.1225573872472783,3.1575376377952753,3.256541897619824,3.3077226277372267,3.456324738675958,3.477052963872325,3.5306707099536205,3.7183581412920286,1.346057037,0.673579653,0.016365131,0.026600364,0.251816448,0.002407245,0.950113846,0.238423373,0.002010082,0.309239943
S11111,2.1316835367073415,2.8166980348740656,3.0716891603053433,3.113947906976744,3.2794972067039105,3.3455403225806446,3.3833024838380403,3.4358691588785044,3.557018705035971,3.74144769874477,1.37954103,0.267096692,0.078037565,0.577911706,0.306515274,0.005044938,0.190505907,0.460994718,0.012466089,0.076309306
S11111,1.8968394718554547,2.983893617021277,3.1011333333333333,3.1338301061836353,3.213533568904593,3.3136303191489356,3.3648136624957727,3.445525,3.514843450479233,3.768788343558282,0.755663488,0.583031817,0.054329206,0.012033291,0.28097599,1.497046421,0.47995265,0.025972865,0.022664541,0.288469928
S11111,1.9872266960838387,2.7251663113006397,3.0234541091781644,3.16375,3.1798514285714283,3.2670183246073297,3.3165930116472544,3.376085539714867,3.445525,3.785935260115607,0.706145308,0.454719729,0.440294894,0.028116712,0.023534046,0.095293122,0.110072113,1.024334428,0.205301971,0.244613315
